title,genres_associated,languages_availables,runtime,overview,adult,release_date,tagline,vote_average,keywords,cast
Beach Party,"['Comedy', 'Music']",['English'],101.0,"Anthropology Professor Robert Orwell Sutwell and his secretary Marianne are studying the sex habits of teenagers. The surfing teens led by Frankie and Dee Dee don't have much sex but they sing, battle the motorcycle rats and mice led by Eric Von Zipper and dance to Dick Dale and the Del Tones.",False,1963-08-07,Surfs up and the Beach is really swinging!,6.8,"['sex', 'led', 'dee']","['Robert Cummings', 'Dorothy Malone', 'Frankie Avalon', 'Annette Funicello', 'Harvey Lembeck', 'Dick Dale', 'Vincent Price', 'Eva Six', 'Delores Wells', 'Candy Johnson', 'Morey Amsterdam', 'John Ashley', 'Jody McCrea', 'Andy Romano', 'Valora Noland', 'Meredith MacRae', 'Pam Colbert']"
Bikini Beach,"['Comedy', 'Music', 'Romance']",['English'],99.0,"A millionaire sets out to prove his theory that his pet chimpanzee is as intelligent as the teenagers who hang out on the local beach, where he is intending to build a retirement home.",False,1964-07-22,"It's where every torso is more so, and bare-as-you-dare is the rule!",6.7,"['millionaire', 'sets', 'prove']","['Frankie Avalon', 'Annette Funicello', 'Timothy Carey', 'Martha Hyer', 'Don Rickles', 'Harvey Lembeck', 'Stevie Wonder', 'Delores Wells', 'John Ashley', 'Jody McCrea', 'Candy Johnson', 'Meredith MacRae', 'Donna Loren', 'Keenan Wynn', 'Elizabeth Montgomery']"
Return of the Fly,"['Drama', 'Horror', 'Science Fiction']","['English', 'French']",80.0,"Fifteen years after his father's experiments with matter transmission fail, Philippe Delambre and his uncle François attempt to create a matter transmission device on their own. However, their experiments have disastrous results, turning Philippe into a horrible half-man, half-fly creature.",False,1959-07-01,Out of the World of Atomic Mutation It Rises - With the Dread Curse of the Father Upon It!,5.7,"['experiments', 'matter', 'transmission']","['Vincent Price', 'Brett Halsey', 'John Sutton', 'David Frankham', 'Dan Seymour', 'Danielle De Metz', 'Jack Daly', 'Janine Grandel', 'Richard Flato', 'Gregg Martell', 'Barry Bernard', ""Pat O'Hara"", 'Francisco Villalobos', 'Joan Cotton', 'Michael Mark']"
Voyage to the Bottom of the Sea,"['Adventure', 'Drama', 'Science Fiction']","['English', 'French']",105.0,The crew of an atomic submarine battle to save the world from global destruction.,False,1961-07-12,From Hundred of Miles In Outer Space to Seven Miles Beneath the Sea!,5.4,"['crew', 'atomic', 'submarine']","['Walter Pidgeon', 'Joan Fontaine', 'Barbara Eden', 'Peter Lorre', 'Robert Sterling', 'Michael Ansara', 'Frankie Avalon', 'Regis Toomey', 'John Litel', 'Howard McNear', 'Henry Daniell', 'Skip Ward', 'Mark Slade', 'Charles Tannen', 'Del Monroe', 'Anthony Monaco', 'Robert Easton']"
Fantastic Voyage,"['Adventure', 'Science Fiction']",['English'],100.0,"The science of miniaturization has been unlocked, and the army has big plans. But when a scientist carrying the secret of the process is injured in a surprise attack, a life-threatening blood clot puts him into a coma. Now, a team of adventurers will have to use the technology to travel inside his body and destroy the clot.",False,1966-08-24,A Fantastic and Spectacular Voyage... Through the Human Body... Into the Brain.,6.7,"['clot', 'science', 'miniaturization']","['Stephen Boyd', 'Raquel Welch', ""Edmond O'Brien"", 'Donald Pleasence', ""Arthur O'Connell"", 'William Redfield', 'Arthur Kennedy', 'Jean Del Val', 'Barry Coe', 'Ken Scott', 'Shelby Grant', 'James Brolin', 'Brendan Fitzgerald']"
Abbott and Costello Meet Frankenstein,"['Comedy', 'Horror']",['English'],83.0,"Two hapless frieght handlers find themselves encountering Dracula, the Frankenstein Monster and the Wolf Man.",False,1948-06-15,More howls than you can shake a shiver at!!!,7.4,"['two', 'hapless', 'frieght']","['Bud Abbott', 'Lou Costello', 'Lon Chaney Jr.', 'Bela Lugosi', 'Glenn Strange', 'Jane Randolph', 'Frank Ferguson', 'Charles Bradstreet', 'George Barton', 'Lenore Aubert', 'Vincent Price', 'Bobby Barber', 'Joe Kirk', 'Harry Brown', 'Howard Negley', 'Carl Sklover', 'Helen Spring', 'Paul Stader', 'Clarence Straight', 'Joe Walls']"
The Bank Dick,['Comedy'],['English'],72.0,"Egbert Sousé becomes an unexpected hero when a bank robber falls over a bench he's occupying. Now considered brave, Egbert is given a job as a bank guard. Soon, he is approached by charlatan J. Frothingham Waterbury about buying shares in a mining company. Egbert persuades teller Og Oggilby to lend him bank money, to be returned when the scheme pays off. Unfortunately, bank inspector Snoopington then makes a surprise appearance.",False,1940-11-29,"Was His Face Red . . . And His Nose, Too ! when the bandits took the money . . . and the SAFE !",6.8,"['bank', 'egbert', 'sousé']","['W.C. Fields', 'Cora Witherspoon', 'Una Merkel', 'Evelyn Del Rio', 'Jessie Ralph', 'Franklin Pangborn', 'Shemp Howard', 'Grady Sutton', 'Russell Hicks', 'Dick Purcell', 'Pierre Watkin', 'Al Hill', 'George Moran', 'Bill Wolfe', 'Jack Norton', 'Pat West', 'Reed Hadley', 'Heather Wilde', 'Harlan Briggs', 'William Alston', 'Eddie Acuff', 'Nora Cecil', 'Lowden Adams', 'Fay Adler', 'Vangie Beilby', 'Becky Bohanon', 'Melinda Boss', 'Tom Braunger', 'Jack Rube Clifford', 'Eddie Coke', 'Russell Coles', 'Gene Collins', 'Jan Duggan', 'Eddie Dunn', 'Mary Field', 'Monty Ford', 'Jack Gargan', 'Dolly Haas', 'Larry Harris', 'Charles Hart', 'Fay Holderness', 'Bobby Larson', 'Carey Loftin', 'Carey Loftin', 'Patsy Moran', 'Joseph North', ""William J. O'Brien"", ""Pat O'Malley"", 'David Oliver', 'John Rawlings', 'Sam Rice', 'Jack Roper', 'Margaret Seddon', 'Charles Sullivan', 'Kay Sutton', 'Emma Tansey', 'Edward Thomas', 'David Thursby', 'Frankie Van', 'Dorothy Vernon', 'Emmett Vogan', 'Max Wagner', 'Frank Ward', 'Bonnie Washington']"
Creature from the Black Lagoon,"['Adventure', 'Horror', 'Science Fiction']",['English'],79.0,"A scientific expedition searching for fossils along the Amazon River discover a prehistoric Gill-Man in the legendary Black Lagoon. The explorers capture the mysterious creature, but it breaks free. The Gill-Man returns to kidnap the lovely Kay, fiancée of one of the expedition, with whom it has fallen in love.",False,1954-03-05,From the Amazon's forbidden depths came the Creature from the Black Lagoon,6.7,"['expedition', 'scientific', 'searching']","['Richard Carlson', 'Julie Adams', 'Richard Denning', 'Antonio Moreno', 'Nestor Paiva', 'Whit Bissell', 'Bernie Gozier', 'Henry A. Escalante', 'Sydney Mason', 'Perry Lopez', 'Rodd Redwing', 'Ricou Browning', 'Ben Chapman']"
The Invisible Man,"['Horror', 'Science Fiction']",['English'],71.0,"Working in Dr. Cranley's laboratory, scientist Jack Griffin was always given the latitude to conduct somhe of his own experiments. His sudden departure, however, has Cranley's daughter Flora worried about him. Griffin has taken a room at the nearby Lion's Head Inn, hoping to reverse an experiment he conducted on himself that made him invisible. Unfortunately, the drug he used has also warped his mind, making him aggressive and dangerous. He's prepared to do whatever it takes to restore his appearance, and several will die in the process.",False,1933-11-13,CARL LAEMMLE presents H.G. WELLS' FANTASTIC SENSATION,7.3,"['cranley', 'griffin', 'working']","['Claude Rains', 'Gloria Stuart', 'William Harrigan', 'Henry Travers', ""Una O'Connor"", 'Forrester Harvey', 'Holmes Herbert', 'E.E. Clive', 'Dudley Digges', 'Harry Stubbs', 'Donald Stuart', 'Merle Tottenham', 'Walter Brennan', 'John Carradine', 'Dwight Frye', 'Mary Gordon', 'Crauford Kent', 'Paul Kruger', 'Monte Montague', 'Jack Montgomery', 'Charles Morton', 'Tom Ricketts', 'Jameson Thomas', 'Bert Young']"
The Killer Shrews,"['Horror', 'Science Fiction']","['English', 'Spanish']",69.0,"Trapped on a remote island by a hurricane, a group discover a doctor has been experimenting on creating half sized humans. Unfortunately, his experiments have also created giant shrews, who when they have run out of small animals to eat, turn on the humans....",False,1959-06-25,All that was left after...THE KILLER SHREWS!,4.3,"['humans', 'trapped', 'remote']","['James Best', 'Ingrid Goude', 'Ken Curtis', 'Gordon McLendon', 'Baruch Lumet', 'Judge Henry Dupree', 'Alfredo de Soto']"
Kronos,['Science Fiction'],['English'],78.0,"Scientists investigate what appears to be a meteorite that crashes into the ocean. After a few days and nights of mysterious lights and noises, a giant machine comes out of the ocean. The machine is the creation of an alien race, that is trying to syphon energy from earth. A true classic, in that it is so different from anything in the time period. To this day, nothing else has come out like it.",False,1957-03-31,World-Destroying Monster!,5.8,"['ocean', 'machine', 'scientists']","['Jeff Morrow', 'Barbara Lawrence', 'John Emery', ""George O'Hanlon"", 'Morris Ankrum', 'Kenneth Alton', 'Jose Gonzales-Gonzales', 'Marjorie Stapp', 'John Parrish', 'Robert Forrest', 'John Halloran', 'Rosa Turich', 'Richard Harrison', 'Robert Shayne', 'Don Eitner', 'Gordon Mills']"
Phantom of the Opera,"['Music', 'Horror', 'Romance']",['English'],92.0,"Pit violinist Claudin hopelessly loves rising operatic soprano Christine Dubois (as do baritone Anatole and police inspector Raoul) and secretly aids her career. But Claudin loses both his touch and his job, murders a rascally music publisher in a fit of madness, and has his face etched with acid. Soon, mysterious crimes plague the Paris Opera House, blamed on a legendary ""phantom"".",False,1943-08-27,The screen's classic of terror!,5.6,"['claudin', 'pit', 'violinist']","['Nelson Eddy', 'Susanna Foster', 'Claude Rains', 'Edgar Barrier', 'Leo Carrillo', 'Jane Farrar', 'J. Edward Bromberg', 'Fritz Feld', 'Frank Puglia', 'Steven Geray', 'Barbara Everest', 'Hume Cronyn', 'Fritz Leiber', 'Nicki Andre', 'Gladys Blake', 'Elvira Curci', 'Kate Drain Lawson', 'Miles Mander', 'Rosina Galli', 'Edward Biby', 'Stanley Blystone', 'Beatrice Roberts', 'Belle Mitchell', 'James Mitchell']"
Runaway,"['Thriller', 'Crime', 'Science Fiction']",['English'],100.0,"In the near future, a police officer specializes in malfunctioning robots. When a robot turns out to have been programmed to kill, he begins to uncover a homicidal plot to create killer robots... and his son becomes a target.",False,1984-12-14,IT IS THE FUTURE. Machines are being programmed to turn against us. Someone must stop the madman who started it all.,5.0,"['robots', 'near', 'future']","['Tom Selleck', 'Cynthia Rhodes', 'Gene Simmons', 'Kirstie Alley', 'Stan Shaw', 'G. W. Bailey', 'Joey Cramer', 'Chris Mulkey', 'Anne-Marie Martin', 'Michael Paul Chan', 'Elizabeth Norment', 'Cec Verrell']"
The Slumber Party Massacre,"['Comedy', 'Horror']",['English'],77.0,"An 18-year-old high school girl is left at home by her parents and decides to have a slumber party. Meanwhile, a mass murderer with a propensity for power tools has escaped from prison, and eventually makes his way to the party where the guests begin dropping off one by one.",False,1982-11-12,Close your eyes for a second... and sleep forever.,5.7,"['party', 'one', 'high']","['Michelle Michaels', 'Robin Stille', 'Michael Villella', 'Debra Deliso', 'Andree Honore', 'Jennifer Meyers', 'Joseph Alan Johnson', 'David Millbern', 'Gina Smika Hunter', 'Brinke Stevens', 'Jim Boyce', 'Pamela Roylance', 'Aaron Lipstadt', 'Rigg Kennedy', 'Jean Vargas', 'Anna Patton', 'Howard Purgason', 'Pamela Canzano', 'Francis Menendez']"
Slumber Party Massacre II,"['Horror', 'Comedy']",['English'],75.0,"Courtney, the sister of a survivor from the 1st movie and the members of her rock band go to a condo for the weekend to play music and have fun with their boyfriends. Courtney's dreams are of her sister, who is in a mental institution, warning her of having sex, and the dreams begin to spill into real life, threatening Courtney and her friends as they begin experiencing an attrition problem.",False,1987-10-30,The party begins when the lights go out!,5.0,"['courtney', 'sister', 'dreams']","['Jennifer Rhodes', 'Kimberly McArthur', 'Patrick Lowe', 'Juliette Cummins', 'Heidi Kozak', 'Cindy Eilbacher', 'Atanas Ilitch', 'Crystal Bernard', 'Joel Hoffman']"
Sorority House Massacre,['Horror'],['English'],74.0,"A little girl's brother kills the whole family but her (she escapes by hiding in the basement). He is committed, and she grows up with a new family, eventually going to college, where she joins a sorority. Due to a memory block, she doesn't remember that the sorority house was her childhood house. Her brother senses her presence in the house and escapes so he can finish the job he was unable to complete.",False,1986-10-01,Who'll survive the final exam?,4.7,"['house', 'brother', 'family']","[""Angela O'Neill"", 'Wendy Martel', 'Pamela Ross', 'Nicole Rio', 'John C. Russell']"
Sorority House Massacre II,"['Comedy', 'Horror', 'Thriller']",['English'],80.0,"Five college women buy the old Hokstedter place for their new sorority house. They got it cheap because of the bloody incidents from five years before. They decide to stay in it for the night so they can meet the movers in the morning, but begin to get the creeps when the weird neighbor Orville Ketchum starts poking around. Shortly after the women take showers and consult a Ouija board they begin experiencing an attrition problem.",False,1990-10-05,It's Cleavage vs. Cleavers and the result is Delta Delta Deadly!,5.0,"['five', 'women', 'begin']","['Gail Harris', 'Melissa Moore', 'Peter Spellos', 'Stacia Zhivago', 'Barbii', 'Dana Bentley', 'Jürgen Baum', 'Toni Naples', 'Bridget Carney', 'Bob Sheridan', 'Gunnar Johnson', 'Eric Hoffman', 'Carlo Jonzi', 'Hassan Feffer', 'Emil Rochelle', 'Savannah', 'Alex Tabrizi', 'Kevin Tent', 'Don Keehed', 'J.B. Rogers', 'Mike Elliott']"
Get Carter,"['Action', 'Drama', 'Thriller', 'Crime']",['English'],102.0,"Remake of the Michael Caine classic. Jack Carter, a mob enforcer living in Las Vegas, travels back to his hometown of Seattle for his brother's funeral. During this visit, Carter realizes that the death of his brother was not accidental, but a murder. With this knowledge, Carter sets out to kill all those responsible.",False,2000-10-06,The Truth Hurts,4.8,"['carter', 'brother', 'remake']","['Sylvester Stallone', 'Miranda Richardson', 'Rachael Leigh Cook', 'Mickey Rourke', 'Johnny Strong', 'Rhona Mitra', 'John C. McGinley', 'Alan Cumming', 'Michael Caine', 'Gretchen Mol', 'John Cassini', 'Crystal Lowe', 'Mark Boone Junior', 'Tyler Labine', 'Tom Sizemore']"
Get Carter,"['Crime', 'Thriller']",['English'],112.0,"Michael Caine is Jack Carter, a small-time hood working in London. When word reaches him of his brothers death, he travels to Newcastle to attend the funeral. Refusing to accept the police report of suicide, Carter seeks out his brother’s friends and acquaintances to learn who murdered his sibling and why. Tough gangster film with grim humour.",False,1971-03-03,What happens when a professional killer violates the code? Get Carter!,6.9,"['carter', 'michael', 'caine']","['Michael Caine', 'Ian Hendry', 'Britt Ekland', 'John Osborne', 'Tony Beckley', 'Bryan Mosley', 'Geraldine Moffat', 'Petra Markham', 'George Sewell', 'Alun Armstrong', 'Rosemarie Dunham', 'Glynn Edwards', 'Bernard Hepton', 'Terence Rigby', 'John Bindon', 'Godfrey Quigley', 'Ben Aris']"
